CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Nikolskoye,RU,59.7035,30.7861,1.6,97,100,5.33,light snow
79,Victoria,HK,22.2855,114.1577,18.99,88,97,4.02,overcast clouds
80,Mayumba,GA,-3.432,10.6554,25.9,89,100,2.66,overcast clouds
81,Coquimbo,CL,-29.9533,-71.3436,21.85,64,20,6.17,few clouds
82,Bafq,IR,31.6128,55.4107,10.78,54,100,3.42,overcast clouds
83,Hithadhoo,MV,-0.6,73.0833,27.36,69,100,4.91,overcast clouds
84,Flinders,AU,-34.5833,150.8552,17.89,93,79,1.79,broken clouds
85,Rocky Mount,US,35.9382,-77.7905,22.98,32,0,3.09,clear sky
86,Amta,IN,22.58,88.0083,15.96,45,21,2.92,few clouds
87,Srednekolymsk,RU,67.45,153.6833,-35.49,98,95,3.26,overcast clouds
88,Kieta,PG,-6.2167,155.6333,25.55,76,100,0.97,overcast clouds
89,Torbay,CA,47.6666,-52.7314,7.64,79,100,6.69,overcast clouds
90,Cap Malheureux,MU,-19.9842,57.6142,27.27,84,6,1.79,clear sky
91,Taoudenni,ML,22.6783,-3.9836,19.65,18,0,4.57,clear sky
92,Umm Kaddadah,SD,13.6017,26.6876,17.1,17,5,5.91,clear sky
93,Fredericksburg,US,38.3032,-77.4605,18.45,35,40,3.13,scattered clouds
94,Manzhouli,CN,49.6,117.4333,-28.68,99,56,1.64,broken clouds
95,Butaritari,KI,3.0707,172.7902,28.22,69,98,7.09,overcast clouds
96,Iqaluit,CA,63.7506,-68.5145,-30.15,57,40,0.0,scattered clouds
97,Tiarei,PF,-17.5333,-149.3333,31.01,73,83,6.65,broken clouds
98,Emerald,AU,-23.5333,148.1667,21.08,83,0,2.06,clear sky
99,Loandjili,CG,-4.7561,11.8578,27.06,89,20,3.6,few clouds
100,Turayf,SA,31.6725,38.6637,7.14,61,0,2.57,clear sky
101,Portsmouth,GB,50.799,-1.0913,8.58,89,100,5.81,overcast clouds
102,Kaitangata,NZ,-46.2817,169.8464,10.52,80,100,4.38,overcast clouds
103,Jamestown,US,42.097,-79.2353,-1.06,63,100,4.12,overcast clouds
104,Ishigaki,JP,24.3448,124.1572,21.33,89,98,1.78,overcast clouds
105,Sept-Iles,CA,50.2001,-66.3821,0.59,90,100,2.06,overcast clouds
106,Guerrero Negro,MX,27.9769,-114.0611,23.61,29,100,1.32,overcast clouds
107,East London,ZA,-33.0153,27.9116,24.88,88,0,4.73,clear sky
108,Berdigestyakh,RU,62.0989,126.6992,-29.91,100,100,1.11,overcast clouds
109,Chokurdakh,RU,70.6333,147.9167,-19.02,95,100,6.09,overcast clouds
110,Tuktoyaktuk,CA,69.4541,-133.0374,-33.0,68,20,4.12,few clouds
111,Arraial Do Cabo,BR,-22.9661,-42.0278,26.92,69,75,3.6,light rain
112,Palora,EC,-1.7,-77.9333,25.06,74,89,0.5,light rain
113,Atar,MR,20.5169,-13.0499,22.54,20,16,4.35,few clouds
114,Victor Harbor,AU,-35.5667,138.6167,22.17,37,96,2.93,overcast clouds
115,Santa Rosa,PH,14.3122,121.1114,26.17,80,99,3.29,overcast clouds
116,Champerico,GT,14.3,-91.9167,36.3,54,2,4.69,clear sky
117,Nanning,CN,22.8167,108.3167,10.25,89,100,2.33,overcast clouds
118,Haines Junction,CA,60.7522,-137.5108,5.97,33,72,4.12,broken clouds
119,Abu Samrah,SY,35.3029,37.1841,9.29,72,0,2.69,clear sky
120,Sumkino,RU,58.1108,68.3244,-15.55,93,100,2.47,overcast clouds
121,Naryan-Mar,RU,67.6713,53.087,-11.65,95,98,4.62,overcast clouds
122,Labuhan,ID,-6.8844,112.2051,25.63,80,100,1.87,overcast clouds
123,Kushima,JP,31.4583,131.2333,12.4,96,100,1.71,overcast clouds
124,Banjarmasin,ID,-3.3244,114.591,24.08,89,100,1.31,overcast clouds
125,Yulara,AU,-25.2406,130.9889,20.91,43,0,3.09,clear sky
126,Sechura,PE,-5.5569,-80.8222,27.11,57,100,6.34,overcast clouds
127,Carauari,BR,-4.8828,-66.8958,29.3,72,87,0.68,overcast clouds
128,Yoichi,JP,43.2039,140.7703,-1.54,69,49,5.24,scattered clouds
129,Klaksvik,FO,62.2266,-6.589,3.51,88,100,2.97,overcast clouds
130,Bodden Town,KY,19.2833,-81.25,29.44,66,20,5.66,few clouds
131,Saint-Pierre,RE,-21.3393,55.4781,25.8,83,75,3.09,broken clouds
132,Nueva Gerona,CU,21.8833,-82.8,27.07,67,31,3.96,moderate rain
133,Hamilton,US,39.1834,-84.5333,-0.14,78,100,5.66,overcast clouds
134,Tiksi,RU,71.6872,128.8694,-22.39,89,88,7.0,overcast clouds
135,Kahului,US,20.8947,-156.47,25.54,68,20,4.02,few clouds
136,Smithers,CA,54.7804,-127.1743,-1.82,74,75,3.09,broken clouds
137,Kavieng,PG,-2.5744,150.7967,26.99,78,100,1.85,overcast clouds
138,Barra Dos Coqueiros,BR,-10.9089,-37.0386,30.01,70,0,8.23,clear sky
139,Yenagoa,NG,4.9247,6.2642,27.43,70,97,3.31,overcast clouds
140,Almeirim,BR,-1.5233,-52.5817,30.06,59,59,1.74,broken clouds
141,Svetlyy,RU,54.675,20.1347,1.03,70,92,7.9,overcast clouds
142,Souillac,MU,-20.5167,57.5167,27.21,83,40,3.09,light rain
143,Miri,MY,4.4148,114.0089,24.08,94,40,0.0,scattered clouds
144,Berlevag,NO,70.8578,29.0864,-4.0,79,66,9.69,broken clouds
145,Hasaki,JP,35.7333,140.8333,-1.78,62,64,2.3,broken clouds
146,Tongliao,CN,43.6125,122.2653,-25.6,100,13,1.9,few clouds
147,Polyarnyy,RU,69.1989,33.4478,-19.74,92,53,3.83,broken clouds
148,Pahrump,US,36.2083,-115.9839,21.81,15,0,1.34,clear sky
149,Tadine,NC,-21.55,167.8833,26.96,84,100,2.41,overcast clouds
150,Kodiak,US,57.79,-152.4072,3.73,65,0,5.14,clear sky
151,Ivanava,BY,52.1451,25.5365,-1.67,74,15,3.23,few clouds
152,Livingstonia,MW,-10.606,34.1063,17.16,90,100,1.5,light rain
153,Codrington,AU,-38.2667,141.9667,20.93,49,100,5.32,overcast clouds
