CityID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Broome,US,5.65,broken clouds,42.2506,-75.833,Chenango Valley State Park
200,San Quintin,MX,23.87,broken clouds,30.4833,-115.95,Don Eddie's Landing
201,Asfi,MA,15.03,clear sky,32.2994,-9.2372,Hôtel Abda
202,Chiniot,PK,10.36,clear sky,31.72,72.9789,Khayyam Hotel & Restaurant Chiniot
203,Sitka,US,5.94,overcast clouds,57.0531,-135.33,Westmark Sitka
204,Rio Gallegos,AR,21.03,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
205,Dingle,PH,23.43,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
208,Northam,GB,9.68,overcast clouds,51.0333,-4.2167,Durrant House Hotel
210,Sehithwa,BW,22.29,clear sky,-20.4667,22.7167,MONLEK GUEST HOUSE
211,Hambantota,LK,24.6,overcast clouds,6.1241,81.1185,Bungalow 63
212,Mount Isa,AU,22.87,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
214,Naze,JP,17.38,overcast clouds,28.3667,129.4833,Shishime Hotel
219,Heilbron,ZA,18.87,few clouds,-27.2812,27.9709,Guest house
220,Saint Albans,GB,6.6,overcast clouds,51.75,-0.3333,The White Hart
221,Puri,IN,16.29,few clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
223,Veraval,IN,20.78,clear sky,20.9,70.3667,Lords Inn Somnath
225,Granville,AU,19.94,broken clouds,-33.8333,151.0167,Mercure Sydney Parramatta
226,Vila Franca Do Campo,PT,16.78,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
227,Mar Del Plata,AR,18.01,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
228,Wanxian,CN,7.64,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
229,Lattes,FR,11.98,overcast clouds,43.5675,3.9046,Madame Vacances - Résidence Les Consuls de la Mer
231,Gua Musang,MY,20.88,overcast clouds,4.8823,101.9644,Mines Inn Hotel
234,Geraldton,AU,20.23,clear sky,-28.7667,114.6,Broadwater Mariner Resort
241,Abha,SA,14.14,clear sky,18.2164,42.5053,Abha Hotel
242,Onda,ES,12.38,overcast clouds,39.9667,-0.25,Motel Shhh
245,Mount Gambier,AU,16.95,broken clouds,-37.8333,140.7667,The Commodore
249,Powell River,CA,6.0,fog,49.8496,-124.5361,Rodmay Hotel
250,Marystown,CA,7.14,broken clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
252,Camana,PE,23.62,broken clouds,-16.6228,-72.7111,Hostal Morales
257,Praia Da Vitoria,PT,18.14,few clouds,38.7333,-27.0667,Hotel Branco I
260,Chuncheng,CN,18.9,light rain,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
261,Arlit,NE,21.71,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
265,Meadow Lake,US,7.55,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
267,Namibe,AO,24.33,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
271,Pafos,CY,10.95,clear sky,34.7667,32.4167,Elysium Hotel
272,Hobart,AU,14.03,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
276,Mersing,MY,24.95,scattered clouds,2.4312,103.8405,Timotel Hotel
277,Dillon,US,21.66,overcast clouds,34.4166,-79.3712,Dillon Express Inn
279,Port Moresby,PG,21.68,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
280,Bengkulu,ID,24.17,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
281,Lagoa,PT,15.7,overcast clouds,39.05,-27.9833,Casa Das Faias
282,Praia,CV,24.3,overcast clouds,14.9215,-23.5087,LT Aparthotel
283,La Ciotat,FR,11.93,overcast clouds,43.1748,5.6045,ibis La Ciotat
285,Valeggio Sul Mincio,IT,5.23,clear sky,45.3523,10.7367,Hotel Eden Restaurant
286,Kawalu,ID,22.73,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
287,Mangrol,IN,20.18,clear sky,21.1167,70.1167,Hotel The Royal Honours
288,Saldanha,ZA,19.05,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
290,Vangaindrano,MG,23.16,scattered clouds,-23.35,47.6,Hotel Fanilo
292,Tinos,GR,14.42,overcast clouds,37.5375,25.1634,Hotel Poseidonio
295,Ayr,GB,8.99,broken clouds,55.4627,-4.6339,Mercure Ayr Hotel
299,Bredasdorp,ZA,20.16,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
